sep=;
.text;SmartExplorer
.text;Version 2.2.2.29916
.text;Copyright (C) 2021 OTT HydroMet B.V.
.text;
.text;Logfile created on;;08/02/2024
.text;
.text;Date;Time;Channel;Status;Modbus ID;Serial Nr;Type;Softw. Rel.;Hardw. Rel.;Sensitivity (uV/W/m2);Scalefactor;
.text;2024-02-08;11:20:05;01;Ready;001;22-3080;SMP3-A;V250;V001;22.1591;0.1;
.text;2024-02-08;11:20:05;02;n.a.;
.text;2024-02-08;11:20:05;03;n.a.;
.text;2024-02-08;11:20:05;04;n.a.;
.text;2024-02-08;11:20:05;05;n.a.;
.text;2024-02-08;11:20:05;06;n.a.;
.text;2024-02-08;11:20:05;07;n.a.;
.text;2024-02-08;11:20:05;08;n.a.;
.text;2024-02-08;11:20:05;09;n.a.;
.text;2024-02-08;11:20:05;10;n.a.;
.text;
.text
.text;Channel;<>;Ch.1;;Ch.2;;Ch.3;;Ch.4;;Ch.5;;Ch.6;;Ch.7;;Ch.8;;Ch.9;;Ch.10;;
.text;Info;<>;Radiation;Body Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;
.text;Serial NR;<>;22-3080;22-3080;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
.text;Date;Time;W/m2;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;
.data;2024-02-08;11:20:10;3.0;20.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;11:20:15;2.9;20.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;11:20:20;3.0;20.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;11:20:25;3.0;20.92;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;11:20:30;3.0;20.98;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;11:20:35;3.0;20.96;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;11:20:40;3.0;21.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;11:20:45;3.0;20.96;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;11:20:50;2.0;20.98;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;11:20:55;2.2;21.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;11:21:00;3.2;21.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;11:21:05;3.4;21.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;11:21:10;3.5;21.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;11:21:15;3.5;21.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;11:21:20;3.5;21.00;;;;;;;;;;;;;;;;;;;
