sep=;
.text;SmartExplorer
.text;Version 2.2.2.29916
.text;Copyright (C) 2021 OTT HydroMet B.V.
.text;
.text;Logfile created on;;17/02/2024
.text;
.text;Date;Time;Channel;Status;Modbus ID;Serial Nr;Type;Softw. Rel.;Hardw. Rel.;Sensitivity (uV/W/m2);Scalefactor;
.text;2024-02-17;08:41:51;01;Ready;001;22-3080;SMP3-A;V250;V001;22.1591;0.1;
.text;2024-02-17;08:41:51;02;n.a.;
.text;2024-02-17;08:41:51;03;n.a.;
.text;2024-02-17;08:41:51;04;n.a.;
.text;2024-02-17;08:41:51;05;n.a.;
.text;2024-02-17;08:41:51;06;n.a.;
.text;2024-02-17;08:41:51;07;n.a.;
.text;2024-02-17;08:41:51;08;n.a.;
.text;2024-02-17;08:41:51;09;n.a.;
.text;2024-02-17;08:41:51;10;n.a.;
.text;
.text
.text;Channel;<>;Ch.1;;Ch.2;;Ch.3;;Ch.4;;Ch.5;;Ch.6;;Ch.7;;Ch.8;;Ch.9;;Ch.10;;
.text;Info;<>;Radiation;Body Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;
.text;Serial NR;<>;22-3080;22-3080;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
.text;Date;Time;W/m2;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;
.data;2024-02-17;08:46:30;17.2;13.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:46:35;17.2;13.78;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:46:40;17.2;13.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:46:45;17.3;13.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:46:50;17.3;13.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:46:55;17.5;13.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:47:00;17.5;13.66;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:47:05;17.6;13.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:47:10;17.6;13.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:47:15;17.6;13.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:47:20;17.7;13.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:47:25;17.8;13.52;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:47:30;17.8;13.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:47:35;17.8;13.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:47:40;17.7;13.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:47:45;17.7;13.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:47:50;17.8;13.46;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:47:55;17.8;13.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:48:00;17.8;13.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:48:05;17.8;13.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:48:10;17.8;13.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:48:15;17.9;13.36;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:48:20;17.9;13.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:48:25;17.9;13.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:48:30;18.1;13.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:48:35;18.1;13.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:48:40;18.2;13.22;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:48:45;18.2;13.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:48:50;18.2;13.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:48:55;18.4;13.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:49:00;18.4;13.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:49:05;18.5;13.12;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:49:10;18.5;13.10;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:49:15;18.5;13.10;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:49:20;18.5;13.10;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:49:25;18.4;13.08;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:49:30;18.4;13.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:49:35;18.4;13.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:49:40;18.3;13.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:49:45;18.4;13.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:49:50;18.4;12.98;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:49:55;18.5;12.92;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:50:00;18.6;12.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:50:05;18.7;12.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:50:10;18.8;12.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:50:15;19.0;12.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:50:20;19.1;12.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:50:25;19.2;12.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-17;08:50:30;19.2;12.86;;;;;;;;;;;;;;;;;;;
