sep=;
.text;SmartExplorer
.text;Version 2.2.2.29916
.text;Copyright (C) 2021 OTT HydroMet B.V.
.text;
.text;Logfile created on;;12/02/2024
.text;
.text;Date;Time;Channel;Status;Modbus ID;Serial Nr;Type;Softw. Rel.;Hardw. Rel.;Sensitivity (uV/W/m2);Scalefactor;
.text;2024-02-12;11:19:38;01;Ready;001;22-3080;SMP3-A;V250;V001;22.1591;0.1;
.text;2024-02-12;11:19:38;02;n.a.;
.text;2024-02-12;11:19:38;03;n.a.;
.text;2024-02-12;11:19:38;04;n.a.;
.text;2024-02-12;11:19:38;05;n.a.;
.text;2024-02-12;11:19:38;06;n.a.;
.text;2024-02-12;11:19:38;07;n.a.;
.text;2024-02-12;11:19:38;08;n.a.;
.text;2024-02-12;11:19:38;09;n.a.;
.text;2024-02-12;11:19:38;10;n.a.;
.text;
.text
.text;Channel;<>;Ch.1;;Ch.2;;Ch.3;;Ch.4;;Ch.5;;Ch.6;;Ch.7;;Ch.8;;Ch.9;;Ch.10;;
.text;Info;<>;Radiation;Body Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;
.text;Serial NR;<>;22-3080;22-3080;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
.text;Date;Time;W/m2;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;
.data;2024-02-12;11:19:40;408.0;12.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-12;11:19:45;407.9;12.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-12;11:19:50;408.3;12.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-12;11:19:55;409.1;12.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-12;11:20:00;409.3;12.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-12;11:20:05;409.3;12.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-12;11:20:10;409.2;12.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-12;11:20:15;409.0;12.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-12;11:20:20;410.5;12.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-12;11:20:25;412.6;12.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-12;11:20:30;413.8;12.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-12;11:20:35;414.2;12.00;;;;;;;;;;;;;;;;;;;
.data;2024-02-12;11:20:40;414.4;11.98;;;;;;;;;;;;;;;;;;;
.data;2024-02-12;11:20:45;414.6;11.94;;;;;;;;;;;;;;;;;;;
.data;2024-02-12;11:20:50;414.2;11.98;;;;;;;;;;;;;;;;;;;
