.text;Channel;<>;Ch.1;;;;;;;;Ch.2;;;;;;;;Ch.3;;;;;;;;Ch.4;;;;;;;;Ch.5;;;;;;;;Ch.6;;;;;;;;Ch.7;;;;;;;;Ch.8;;;;;;;;Ch.9;;;;;;;;Ch.10;;;;;;;;
.text;Info;<>;#Samples;Radiation;<>;Body Temperature;Power;Tilt X;Tilt Y;Tilt Z;#Samples;Output 1;Output 2;Temperature;Power;Tilt X;Tilt Y;Tilt Z;#Samples;Output 1;Output 2;Temperature;Power;Tilt X;Tilt Y;Tilt Z;#Samples;Output 1;Output 2;Temperature;Power;Tilt X;Tilt Y;Tilt Z;#Samples;Output 1;Output 2;Temperature;Power;Tilt X;Tilt Y;Tilt Z;#Samples;Output 1;Output 2;Temperature;Power;Tilt X;Tilt Y;Tilt Z;#Samples;Output 1;Output 2;Temperature;Power;Tilt X;Tilt Y;Tilt Z;#Samples;Output 1;Output 2;Temperature;Power;Tilt X;Tilt Y;Tilt Z;#Samples;Output 1;Output 2;Temperature;Power;Tilt X;Tilt Y;Tilt Z;#Samples;Output 1;Output 2;Temperature;Power;Tilt X;Tilt Y;Tilt Z;
.text;Serial NR;<>;22-3080;22-3080;22-3080;22-3080;22-3080;22-3080;22-3080;22-3080;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
.text;Date;Time;<>;W/m2;<>;Celsius;V;Degrees;Degrees;Degrees;<>;<>;<>;Celsius;V;Degrees;Degrees;Degrees;<>;<>;<>;Celsius;V;Degrees;Degrees;Degrees;<>;<>;<>;Celsius;V;Degrees;Degrees;Degrees;<>;<>;<>;Celsius;V;Degrees;Degrees;Degrees;<>;<>;<>;Celsius;V;Degrees;Degrees;Degrees;<>;<>;<>;Celsius;V;Degrees;Degrees;Degrees;<>;<>;<>;Celsius;V;Degrees;Degrees;Degrees;<>;<>;<>;Celsius;V;Degrees;Degrees;Degrees;<>;<>;<>;Celsius;V;Degrees;Degrees;Degrees;
.data;2024-02-08;10:42:15;005;3.0;;20.80;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;10:42:20;005;3.0;;20.80;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;10:42:25;005;3.0;;20.80;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;10:42:30;005;3.0;;20.80;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;10:42:35;005;3.0;;20.80;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;10:42:40;005;3.0;;20.80;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;10:42:45;005;3.0;;20.80;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;10:42:50;005;3.0;;20.80;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;10:42:55;005;3.0;;20.80;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;10:43:00;005;3.0;;20.80;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
.data;2024-02-08;10:43:05;005;3.0;;20.80;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
