sep=;
.text;SmartExplorer
.text;Version 2.2.2.29916
.text;Copyright (C) 2021 OTT HydroMet B.V.
.text;
.text;Logfile created on;;18/02/2024
.text;
.text;Date;Time;Channel;Status;Modbus ID;Serial Nr;Type;Softw. Rel.;Hardw. Rel.;Sensitivity (uV/W/m2);Scalefactor;
.text;2024-02-18;09:21:12;01;Ready;001;22-3080;SMP3-A;V250;V001;22.1591;0.1;
.text;2024-02-18;09:21:12;02;n.a.;
.text;2024-02-18;09:21:12;03;n.a.;
.text;2024-02-18;09:21:12;04;n.a.;
.text;2024-02-18;09:21:12;05;n.a.;
.text;2024-02-18;09:21:12;06;n.a.;
.text;2024-02-18;09:21:12;07;n.a.;
.text;2024-02-18;09:21:12;08;n.a.;
.text;2024-02-18;09:21:12;09;n.a.;
.text;2024-02-18;09:21:12;10;n.a.;
.text;
.text
.text;Channel;<>;Ch.1;;Ch.2;;Ch.3;;Ch.4;;Ch.5;;Ch.6;;Ch.7;;Ch.8;;Ch.9;;Ch.10;;
.text;Info;<>;Radiation;Body Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;
.text;Serial NR;<>;22-3080;22-3080;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
.text;Date;Time;W/m2;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;
.data;2024-02-18;09:21:15;18.4;12.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-18;09:21:20;18.5;12.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-18;09:21:25;18.6;12.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-18;09:21:30;18.7;12.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-18;09:21:35;19.0;12.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-18;09:21:40;19.2;12.88;;;;;;;;;;;;;;;;;;;
.data;2024-02-18;09:21:45;19.4;12.82;;;;;;;;;;;;;;;;;;;
.data;2024-02-18;09:21:50;19.8;12.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-18;09:21:55;20.1;12.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-18;09:22:00;20.4;12.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-18;09:22:05;20.8;12.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-18;09:22:10;21.2;12.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-18;09:22:15;21.6;12.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-18;09:22:20;22.1;12.76;;;;;;;;;;;;;;;;;;;
.data;2024-02-18;09:22:25;22.6;12.72;;;;;;;;;;;;;;;;;;;
