sep=;
.text;SmartExplorer
.text;Version 2.2.2.29916
.text;Copyright (C) 2021 OTT HydroMet B.V.
.text;
.text;Logfile created on;;16/02/2024
.text;
.text;Date;Time;Channel;Status;Modbus ID;Serial Nr;Type;Softw. Rel.;Hardw. Rel.;Sensitivity (uV/W/m2);Scalefactor;
.text;2024-02-16;09:34:16;01;Ready;001;22-3080;SMP3-A;V250;V001;22.1591;0.1;
.text;2024-02-16;09:34:16;02;n.a.;
.text;2024-02-16;09:34:16;03;n.a.;
.text;2024-02-16;09:34:16;04;n.a.;
.text;2024-02-16;09:34:16;05;n.a.;
.text;2024-02-16;09:34:16;06;n.a.;
.text;2024-02-16;09:34:16;07;n.a.;
.text;2024-02-16;09:34:16;08;n.a.;
.text;2024-02-16;09:34:16;09;n.a.;
.text;2024-02-16;09:34:16;10;n.a.;
.text;
.text
.text;Channel;<>;Ch.1;;Ch.2;;Ch.3;;Ch.4;;Ch.5;;Ch.6;;Ch.7;;Ch.8;;Ch.9;;Ch.10;;
.text;Info;<>;Radiation;Body Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;Output 1;Temperature;
.text;Serial NR;<>;22-3080;22-3080;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
.text;Date;Time;W/m2;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;<>;Celsius;
.data;2024-02-16;09:38:55;105.3;11.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:39:00;104.4;11.90;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:39:05;104.3;11.84;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:39:10;105.0;11.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:39:15;107.1;11.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:39:20;109.5;11.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:39:25;112.1;11.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:39:30;113.6;11.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:39:35;113.8;11.80;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:39:40;112.9;11.74;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:39:45;110.7;11.72;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:39:50;109.1;11.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:39:55;107.9;11.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:40:00;106.2;11.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:40:05;104.4;11.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:40:10;102.3;11.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:40:15;96.6;11.70;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:40:20;97.7;11.68;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:40:25;102.6;11.62;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:40:30;102.7;11.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:40:35;102.6;11.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:40:40;101.9;11.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:40:45;101.5;11.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:40:50;101.5;11.60;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:40:55;101.9;11.54;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:41:00;103.3;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:41:05;105.3;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:41:10;106.6;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:41:15;107.7;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:41:20;108.1;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:41:25;107.8;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:41:30;107.1;11.50;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:41:35;106.8;11.42;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:41:40;107.1;11.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:41:45;107.8;11.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:41:50;108.2;11.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:41:55;108.5;11.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:42:00;110.4;11.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:42:05;113.4;11.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:42:10;116.2;11.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:42:15;118.0;11.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:42:20;119.8;11.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:42:25;121.5;11.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:42:30;123.1;11.40;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:42:35;125.1;11.38;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:42:40;126.3;11.34;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:42:45;126.6;11.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:42:50;125.3;11.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:42:55;122.3;11.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:43:00;118.7;11.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:43:05;114.2;11.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:43:10;109.6;11.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:43:15;105.5;11.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:43:20;102.7;11.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:43:25;101.4;11.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:43:30;101.1;11.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:43:35;102.1;11.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:43:40;104.2;11.30;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:43:45;106.1;11.26;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:43:50;107.8;11.26;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:43:55;108.2;11.26;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:44:00;110.1;11.26;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:44:05;111.1;11.26;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:44:10;111.8;11.22;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:44:15;112.5;11.22;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:44:20;111.2;11.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:44:25;108.0;11.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:44:30;110.0;11.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:44:35;115.8;11.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:44:40;117.4;11.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:44:45;118.5;11.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:44:50;118.8;11.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:44:55;117.2;11.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:45:00;113.8;11.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:45:05;109.8;11.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:45:10;105.6;11.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:45:15;102.4;11.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:45:20;100.2;11.20;;;;;;;;;;;;;;;;;;;
.data;2024-02-16;09:45:25;98.9;11.20;;;;;;;;;;;;;;;;;;;
